PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,AST,TOV,REB,PLUS_MINUS
1628404,Josh Hart,NYK,30.0,77,37.6,13.6,5.2,10.0,0.525,1.1,3.3,0.333,2.1,2.7,0.776,5.9,2.1,9.6,2.6
1631169,Josh Minott,MIN,22.0,46,6.0,2.6,1.0,2.0,0.489,0.3,0.9,0.326,0.4,0.4,0.895,0.4,0.2,1.0,-0.3
1629006,Josh Okogie,CHA,26.0,40,15.6,7.1,2.4,5.3,0.443,0.8,2.3,0.348,1.6,2.1,0.741,0.8,0.8,2.8,-0.3
201950,Jrue Holiday,BOS,35.0,62,30.6,11.1,4.1,9.2,0.443,1.7,4.9,0.353,1.1,1.2,0.909,3.9,1.2,4.3,5.5
1630577,Julian Champagnie,SAS,24.0,82,23.6,9.9,3.4,8.1,0.415,2.2,5.9,0.371,1.0,1.1,0.904,1.4,0.9,3.9,-0.8
1641763,Julian Phillips,CHI,21.0,79,14.2,4.6,1.6,3.6,0.446,0.6,1.9,0.327,0.8,1.0,0.789,0.5,0.3,2.1,0.4
1631124,Julian Strawther,DEN,23.0,65,21.3,9.0,3.2,7.5,0.432,1.4,4.1,0.349,1.1,1.4,0.822,1.3,0.9,2.2,-1.1
203944,Julius Randle,MIN,30.0,69,32.3,18.7,6.6,13.6,0.485,1.6,4.6,0.344,3.9,4.9,0.806,4.7,2.8,7.1,2.4
1630551,Justin Champagnie,WAS,24.0,62,21.6,8.8,3.4,6.6,0.511,1.2,3.1,0.383,0.8,1.2,0.685,1.0,0.9,5.7,-4.6
1642348,Justin Edwards,PHI,21.0,44,26.2,10.1,3.9,8.6,0.455,1.6,4.3,0.363,0.7,1.0,0.696,1.6,1.1,3.4,-6.4
203994,Jusuf Nurkić,CHA,30.0,51,20.8,8.9,3.3,6.9,0.477,0.6,2.1,0.305,1.7,2.5,0.664,2.3,1.9,7.8,-3.6
1630231,KJ Martin,UTA,24.0,43,21.2,6.4,2.6,4.7,0.552,0.3,1.3,0.259,0.9,1.1,0.787,1.1,0.6,2.9,-3.3
1630539,Kai Jones,DAL,24.0,40,11.7,5.0,2.2,2.7,0.798,0.0,0.1,0.2,0.6,0.8,0.719,0.6,0.5,3.1,-0.5
1626157,Karl-Anthony Towns,NYK,29.0,72,35.0,24.4,8.9,16.9,0.526,2.0,4.7,0.42,4.7,5.7,0.829,3.1,2.7,12.8,5.3
1631255,Karlo Matković,NOP,24.0,42,18.8,7.7,3.2,5.6,0.574,0.5,1.6,0.318,0.8,1.0,0.773,1.1,1.0,5.0,-2.1
1631099,Keegan Murray,SAC,24.0,76,34.3,12.4,4.8,10.8,0.444,2.0,5.9,0.343,0.8,0.9,0.833,1.4,0.8,6.7,0.6
1642276,Kel'el Ware,MIA,21.0,64,22.2,9.3,4.0,7.3,0.554,0.5,1.7,0.315,0.7,1.0,0.687,0.9,0.9,7.4,0.6
