SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
2024-25,1629630,Ja Morant,MEM,50,30.4,116.4,109.6,6.8,0.355,23.1,0.021,0.101,0.062,11.8,0.504,0.563,0.312,105.74,0.141
2024-25,1642266,Ja'Kobe Walter,TOR,52,21.2,108.6,111.1,-2.4,0.105,14.5,0.049,0.092,0.07,8.9,0.487,0.523,0.179,101.29,0.068
2024-25,1631095,Jabari Smith Jr.,HOU,57,30.1,113.4,106.1,7.3,0.048,8.1,0.055,0.162,0.107,8.2,0.525,0.562,0.16,100.0,0.093
2024-25,1631133,Jabari Walker,POR,60,12.5,108.1,107.6,0.5,0.071,11.2,0.072,0.198,0.133,10.3,0.576,0.601,0.156,103.86,0.107
2024-25,1630702,Jaden Hardy,DAL,57,15.9,108.3,111.6,-3.2,0.138,13.2,0.01,0.085,0.048,13.3,0.527,0.549,0.244,102.83,0.069
2024-25,1631093,Jaden Ivey,DET,30,29.9,110.5,114.6,-4.1,0.207,17.7,0.043,0.091,0.067,13.2,0.536,0.569,0.256,99.52,0.099
2024-25,1630183,Jaden McDaniels,MIN,82,31.9,113.9,109.9,4.0,0.091,14.2,0.048,0.126,0.087,8.3,0.537,0.562,0.16,98.07,0.086
2024-25,1630531,Jaden Springer,UTA,43,8.5,105.6,108.9,-3.3,0.13,21.0,0.044,0.107,0.076,10.2,0.456,0.511,0.139,102.79,0.063
2024-25,1630256,Jae'Sean Tate,HOU,52,11.3,111.0,104.7,6.3,0.107,19.7,0.072,0.108,0.089,9.2,0.527,0.557,0.126,103.16,0.071
2024-25,1631170,Jaime Jaquez Jr.,MIA,66,20.7,107.9,113.9,-6.0,0.181,21.1,0.06,0.145,0.103,12.4,0.501,0.543,0.194,99.18,0.098
2024-25,1631222,Jake LaRavia,SAC,66,20.4,115.0,111.2,3.8,0.15,24.9,0.063,0.12,0.091,13.5,0.564,0.591,0.14,103.86,0.081
2024-25,1627751,Jakob Poeltl,TOR,57,29.6,111.2,111.9,-0.7,0.136,17.4,0.11,0.206,0.158,12.2,0.628,0.641,0.184,101.44,0.133
2024-25,1628973,Jalen Brunson,NYK,65,35.4,118.3,115.7,2.6,0.318,23.5,0.012,0.072,0.042,8.1,0.551,0.605,0.289,97.79,0.138
2024-25,1631105,Jalen Duren,DET,78,26.1,115.5,114.0,1.5,0.141,21.0,0.137,0.259,0.199,13.6,0.692,0.703,0.161,101.29,0.14
2024-25,1630224,Jalen Green,HOU,82,32.9,113.8,111.1,2.8,0.159,13.7,0.015,0.12,0.065,9.9,0.505,0.544,0.267,99.75,0.111
2024-25,1630552,Jalen Johnson,ATL,36,35.7,111.8,110.2,1.6,0.203,20.5,0.046,0.216,0.132,12.0,0.541,0.569,0.214,106.68,0.135
2024-25,1629618,Jalen Pickett,DEN,49,13.6,112.6,109.7,2.9,0.211,34.1,0.022,0.078,0.051,7.6,0.539,0.545,0.13,99.25,0.078
