PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
1631169,Josh Minott,MIN,22.0,46,276.275,119,44,90,0.489,14,43,0.326,17,19,0.895,12,35,47,18,15,12,11,34,-16
1629006,Josh Okogie,CHA,26.0,40,624.9783333333334,283,94,212,0.443,32,92,0.348,63,85,0.741,45,68,113,33,48,19,31,47,-13
201950,Jrue Holiday,BOS,35.0,62,1896.0683333333334,686,254,573,0.443,108,306,0.353,70,77,0.909,76,189,265,239,66,27,77,101,339
1630577,Julian Champagnie,SAS,24.0,82,1932.1283333333333,815,276,665,0.415,178,480,0.371,85,94,0.904,67,251,318,111,61,35,74,114,-67
1641763,Julian Phillips,CHI,21.0,79,1122.905,366,128,287,0.446,50,153,0.327,60,76,0.789,67,102,169,39,38,20,27,108,30
1631124,Julian Strawther,DEN,23.0,65,1383.47,588,210,486,0.432,94,269,0.349,74,90,0.822,17,125,142,83,39,16,57,151,-71
203944,Julius Randle,MIN,30.0,69,2225.5266666666666,1288,455,939,0.485,108,314,0.344,270,335,0.806,144,343,487,323,47,16,196,175,166
1630551,Justin Champagnie,WAS,24.0,62,1340.5333333333333,544,210,411,0.511,74,193,0.383,50,73,0.685,112,239,351,60,65,39,54,110,-288
1642348,Justin Edwards,PHI,21.0,44,1154.72,445,172,378,0.455,69,190,0.363,32,46,0.696,46,102,148,69,45,16,49,98,-280
203994,Jusuf Nurkić,CHA,30.0,51,1062.8266666666666,453,168,352,0.477,32,105,0.305,85,128,0.664,85,313,398,115,40,34,97,130,-184
1630231,KJ Martin,UTA,24.0,43,911.4983333333333,274,111,201,0.552,15,58,0.259,37,47,0.787,30,95,125,48,17,22,24,101,-142
1642354,KJ Simpson,CHA,22.0,36,842.0833333333334,282,104,301,0.346,33,130,0.254,41,50,0.82,39,70,109,112,34,6,56,56,-278
1630539,Kai Jones,DAL,24.0,40,468.37,198,87,109,0.798,1,5,0.2,23,32,0.719,40,85,125,25,15,23,18,50,-21
1626157,Karl-Anthony Towns,NYK,29.0,72,2516.72,1759,639,1215,0.526,142,338,0.42,339,409,0.829,212,708,920,222,71,50,192,249,378
1631255,Karlo Matković,NOP,24.0,42,790.585,325,135,235,0.574,21,66,0.318,34,44,0.773,64,145,209,46,22,41,43,106,-89
202695,Kawhi Leonard,LAC,34.0,37,1179.9566666666667,796,310,623,0.498,78,190,0.411,98,121,0.81,35,184,219,116,59,17,72,56,296
1630811,Keaton Wallace,ATL,26.0,31,501.1666666666667,168,65,162,0.401,27,82,0.329,11,11,1.0,7,43,50,81,28,9,33,39,-19
1631099,Keegan Murray,SAC,24.0,76,2610.173333333333,942,364,820,0.444,154,449,0.343,60,72,0.833,146,361,507,109,61,69,60,186,46
1642276,Kel'el Ware,MIA,21.0,64,1422.4866666666667,595,257,464,0.554,35,111,0.315,46,67,0.687,116,357,473,60,39,71,57,111,39
1629640,Keldon Johnson,SAS,25.0,77,1837.9966666666667,979,371,770,0.482,87,274,0.318,150,194,0.773,112,259,371,125,49,22,77,115,-217
203482,Kelly Olynyk,NOP,34.0,44,890.9983333333333,384,134,268,0.5,33,79,0.418,83,108,0.769,62,144,206,128,33,19,76,123,-58
1626162,Kelly Oubre Jr.,PHI,29.0,60,2078.19,906,348,741,0.47,71,242,0.293,139,185,0.751,97,271,368,108,92,30,80,180,-258
1629026,Kenrich Williams,OKC,30.0,69,1131.5383333333334,436,171,354,0.483,66,171,0.386,28,39,0.718,65,176,241,97,43,10,39,110,329
203484,Kentavious Caldwell-Pope,MEM,32.0,77,2279.036666666667,673,239,544,0.439,113,330,0.342,82,95,0.863,33,136,169,136,99,34,62,136,11
1631165,Keon Ellis,SAC,25.0,80,1948.1916666666666,666,227,464,0.489,139,321,0.433,73,86,0.849,60,152,212,120,121,63,71,176,64
1630553,Keon Johnson,BKN,23.0,79,1925.2016666666666,839,303,779,0.389,126,401,0.314,107,139,0.77,63,234,297,175,82,30,116,209,-423
1630556,Kessler Edwards,DAL,24.0,40,608.46,168,67,135,0.496,22,54,0.407,12,13,0.923,22,93,115,42,19,20,16,62,-158
201142,Kevin Durant,PHX,36.0,62,2264.685,1647,592,1124,0.527,160,372,0.43,303,361,0.839,23,351,374,263,50,77,190,104,-38
1628989,Kevin Huerter,CHI,26.0,69,1678.9933333333333,681,257,604,0.425,132,391,0.338,35,49,0.714,30,175,205,156,66,23,67,121,104
1629645,Kevin Porter Jr.,MIL,25.0,75,1482.02,771,293,652,0.449,55,177,0.311,130,169,0.769,42,236,278,256,81,13,136,119,27
1626172,Kevon Looney,GSW,29.0,76,1142.155,344,143,278,0.514,2,5,0.4,56,99,0.566,185,277,462,118,46,37,39,154,117
1641718,Keyonte George,UTA,21.0,67,2108.475,1125,359,919,0.391,174,507,0.343,233,285,0.818,26,227,253,377,46,9,183,111,-512
203114,Khris Middleton,WAS,33.0,37,843.1816666666666,440,160,337,0.475,48,133,0.361,72,84,0.857,13,124,137,150,35,8,56,75,39
202691,Klay Thompson,DAL,35.0,72,1964.5683333333334,1005,361,877,0.412,216,553,0.391,67,74,0.905,44,202,246,145,50,30,88,81,-79
1641738,Kobe Brown,LAC,25.0,40,272.22,77,33,72,0.458,6,26,0.231,5,7,0.714,19,46,65,24,7,4,12,23,-53
1627739,Kris Dunn,LAC,31.0,74,1782.9183333333333,474,192,437,0.439,75,224,0.335,15,22,0.682,53,198,251,210,128,27,74,197,262
1631200,Kris Murray,POR,24.0,69,1040.3866666666668,287,117,279,0.419,27,120,0.225,26,57,0.456,76,106,182,68,35,17,43,66,-50
204001,Kristaps Porziņģis,BOS,29.0,42,1209.9633333333334,818,277,574,0.483,103,250,0.412,161,199,0.809,68,216,284,87,31,63,53,116,173
203937,Kyle Anderson,MIA,31.0,61,1002.0933333333334,357,142,303,0.469,25,70,0.357,48,65,0.738,53,153,206,145,40,33,37,81,-22
1642271,Kyle Filipowski,UTA,21.0,72,1521.54,690,260,518,0.502,77,220,0.35,93,143,0.65,112,328,440,140,48,22,102,171,-366
1628398,Kyle Kuzma,MIL,29.0,65,1936.415,964,370,848,0.436,96,313,0.307,128,202,0.634,54,316,370,152,36,19,146,119,-419
200768,Kyle Lowry,PHI,39.0,35,659.4483333333334,138,41,117,0.35,29,88,0.33,27,33,0.818,11,56,67,96,33,11,21,62,-71
202681,Kyrie Irving,DAL,33.0,50,1803.7966666666666,1234,447,945,0.473,144,359,0.401,196,214,0.916,60,180,240,231,66,23,111,101,124
1642273,Kyshawn George,WAS,21.0,68,1802.1833333333334,590,203,546,0.372,114,354,0.322,70,93,0.753,49,236,285,169,68,50,97,201,-361
1630163,LaMelo Ball,CHA,23.0,47,1504.475,1184,406,1003,0.405,179,528,0.339,193,229,0.843,47,185,232,346,54,13,167,157,-130
1629013,Landry Shamet,NYK,28.0,50,761.6,286,106,230,0.461,62,156,0.397,12,18,0.667,11,50,61,27,23,2,22,52,88
1628374,Lauri Markkanen,UTA,28.0,47,1475.8433333333332,892,296,700,0.423,138,399,0.346,162,185,0.876,72,206,278,70,33,17,66,79,-186
2544,LeBron James,LAL,40.0,70,2444.4466666666667,1710,651,1270,0.513,149,396,0.376,259,331,0.782,72,474,546,575,70,39,260,99,-54
1630322,Lindy Waters III,DET,27.0,52,778.41,256,92,249,0.369,64,186,0.344,8,11,0.727,20,90,110,52,27,11,20,62,13
1628366,Lonzo Ball,CHI,27.0,35,777.03,267,89,243,0.366,67,195,0.344,22,27,0.815,25,93,118,115,47,17,41,55,100
1629652,Luguentz Dort,OKC,26.0,71,2073.3,719,258,593,0.435,170,413,0.412,33,46,0.717,89,204,293,115,79,39,51,208,547
1629029,Luka Dončić,LAL,26.0,50,1768.55,1408,461,1025,0.45,177,481,0.368,309,395,0.782,40,369,409,383,89,21,179,126,344
1630568,Luka Garza,MIN,26.0,39,219.31,138,52,105,0.495,10,36,0.278,24,35,0.686,31,23,54,11,6,3,12,29,1
1628379,Luke Kennard,MEM,29.0,65,1471.6916666666666,576,206,431,0.478,113,261,0.433,51,57,0.895,37,146,183,215,50,5,72,59,122
1628436,Luke Kornet,BOS,29.0,73,1361.06,441,187,280,0.668,0,3,0.0,67,97,0.691,190,198,388,117,36,71,31,119,401
1631103,Malaki Branham,SAS,22.0,47,426.555,235,87,190,0.458,34,84,0.405,27,33,0.818,7,44,51,38,11,2,34,29,-33
1627736,Malik Beasley,DET,28.0,82,2282.9466666666667,1336,461,1071,0.43,319,766,0.416,95,140,0.679,47,167,214,139,73,5,83,125,175
1628370,Malik Monk,SAC,27.0,65,2054.11,1117,412,939,0.439,139,428,0.325,154,178,0.865,30,215,245,362,61,38,159,158,116
1630699,MarJon Beauchamp,NYK,24.0,35,156.28166666666667,79,27,65,0.415,10,29,0.345,15,20,0.75,11,33,44,11,4,1,15,14,9
1631204,Marcus Sasser,DET,24.0,57,810.7866666666666,375,137,296,0.463,58,152,0.382,43,51,0.843,18,51,69,133,37,4,54,72,41
203935,Marcus Smart,WAS,31.0,34,680.34,305,101,257,0.393,49,141,0.348,54,71,0.761,18,54,72,109,39,9,54,53,42
1631109,Mark Williams,CHA,23.0,44,1171.045,671,270,447,0.604,0,4,0.0,131,163,0.804,132,315,447,109,32,54,71,105,-301
1628963,Marvin Bagley III,MEM,26.0,31,265.2266666666667,136,55,106,0.519,3,19,0.158,23,35,0.657,38,46,84,11,9,8,12,18,-10
203486,Mason Plumlee,PHX,35.0,74,1300.045,333,125,202,0.619,0,4,0.0,83,128,0.648,116,339,455,134,33,47,59,154,54
1641824,Matas Buzelis,CHI,20.0,80,1511.295,688,252,555,0.454,96,266,0.361,88,108,0.815,55,223,278,79,29,75,74,128,-35
1631108,Max Christie,DAL,22.0,78,2127.141666666667,749,252,590,0.427,115,314,0.366,130,152,0.855,38,220,258,146,64,31,88,115,-83
1629622,Max Strus,CLE,29.0,50,1272.725,471,165,373,0.442,113,293,0.386,28,34,0.824,53,164,217,158,26,12,54,104,221
1628467,Maxi Kleber,LAL,33.0,34,636.875,103,37,96,0.385,13,49,0.265,16,21,0.762,25,70,95,43,9,17,23,66,-17
1630695,Micah Potter,UTA,27.0,38,705.165,162,57,135,0.422,31,98,0.316,17,20,0.85,43,121,164,31,14,14,31,50,-104
1629008,Michael Porter Jr.,DEN,27.0,77,2593.2633333333333,1398,528,1048,0.504,193,489,0.395,149,194,0.768,138,402,540,165,50,38,104,157,265
